Time,GLOBAL time,MPH,RPM,Voltage,Fuel Pressure,Pitot 1,Pitot 2,Pitot 3,Manifold Absolute Pressure,Lambda,pitot 4,Brake Pressure Front,Brake Pressure Rear
517988,11/10/24_11:34:56.463,0,0,130,0,0,0,0,996,124,0,53,47
617479,11/10/24_11:34:56.563,0,0,130,0,65526,65533,65529,996,125,65532,58,47
717481,11/10/24_11:34:56.663,0,0,130,0,65526,65533,65529,996,125,65532,53,47
817475,11/10/24_11:34:56.763,0,0,130,0,65526,65533,65529,997,125,65532,58,47
917475,11/10/24_11:34:56.863,0,0,130,0,65526,65533,65529,996,125,65532,52,47
1017476,11/10/24_11:34:56.963,0,0,130,0,65526,65533,65529,996,125,65532,47,47
1118475,11/10/24_11:34:57.63,0,0,130,0,65526,65533,65529,996,125,65532,58,52
1218477,11/10/24_11:34:57.163,0,0,130,0,65526,65533,65529,996,125,65532,53,52
1318477,11/10/24_11:34:57.263,0,0,130,0,65526,65533,65529,996,125,65532,53,48
1418476,11/10/24_11:34:57.363,0,0,130,0,65526,65533,65529,996,125,65532,58,47
1518476,11/10/24_11:34:57.463,0,0,130,0,65526,65533,65529,996,125,65532,53,52
1618474,11/10/24_11:34:57.563,0,0,130,0,65526,65533,65529,996,125,65532,53,52
1719476,11/10/24_11:34:57.663,0,0,130,0,65526,65533,65529,996,125,65532,52,47
1819475,11/10/24_11:34:57.763,0,0,130,0,65526,65533,65529,996,125,65532,53,48
1919475,11/10/24_11:34:57.863,0,0,130,0,65526,65533,65529,996,125,65532,53,47
2019475,11/10/24_11:34:57.963,0,0,130,0,65526,65533,65529,996,125,65532,52,47
2119477,11/10/24_11:34:58.63,0,0,130,0,65526,65533,65529,996,125,65532,58,58
2219484,11/10/24_11:34:58.163,0,0,130,0,65526,65533,65529,996,125,65532,58,47
2319475,11/10/24_11:34:58.263,0,0,130,0,65526,65533,65529,996,125,65532,52,47
2420484,11/10/24_11:34:58.363,0,0,130,0,65526,65533,65529,996,125,65532,53,52
2520473,11/10/24_11:34:58.443,0,0,130,0,65526,65533,65529,996,125,65532,53,47
2620476,11/10/24_11:34:58.563,0,0,130,0,65526,65533,65529,996,125,65532,53,47
2720475,11/10/24_11:34:58.663,0,0,130,0,65526,65533,65529,996,125,65532,53,47
2820477,11/10/24_11:34:58.763,0,0,130,0,65526,65533,65529,996,126,65532,53,52
2920474,11/10/24_11:34:58.863,0,0,130,0,65526,65533,65529,996,126,65532,53,47
3023482,11/10/24_11:34:58.963,0,0,130,0,65526,65533,65529,997,126,65532,53,47
3123480,11/10/24_11:34:59.63,0,0,130,0,65526,65533,65529,996,126,65532,58,47
3223478,11/10/24_11:34:59.163,0,0,130,0,65526,65533,65529,996,126,65532,53,52
3323475,11/10/24_11:34:59.263,0,0,130,0,65526,65533,65529,996,126,65532,58,52
3423488,11/10/24_11:34:59.363,0,0,130,0,65526,65533,65529,996,126,65532,58,43
3523478,11/10/24_11:34:59.443,0,0,130,0,65526,65533,65529,996,125,65532,47,47
3623476,11/10/24_11:34:59.563,0,0,130,0,65526,65533,65529,996,126,65532,57,52
3724475,11/10/24_11:34:59.683,0,0,130,0,65526,65533,65529,996,126,65532,52,52
3824488,11/10/24_11:34:59.763,0,0,130,0,65526,65533,65529,996,126,65532,58,47
3924477,11/10/24_11:34:59.863,0,0,130,0,65526,65533,65529,996,126,65532,58,47
4024483,11/10/24_11:34:59.983,0,0,130,0,65526,65533,65529,996,126,65532,53,52
4124475,11/10/24_11:35:0.83,0,0,130,0,65526,65533,65529,996,126,65532,52,47
4224479,11/10/24_11:35:0.163,0,0,130,0,65526,65533,65529,996,126,65532,53,52
4324478,11/10/24_11:35:0.283,0,0,130,0,65526,65533,65529,996,126,65532,53,47
4425476,11/10/24_11:35:0.383,0,0,130,0,65526,65533,65529,996,126,65532,57,52
4525476,11/10/24_11:35:0.483,0,0,130,0,65526,65533,65529,996,126,65532,53,52
4625478,11/10/24_11:35:0.563,0,0,130,0,65526,65533,65529,996,126,65532,53,47
4725475,11/10/24_11:35:0.683,0,0,130,0,65526,65533,65529,996,126,65532,53,47
4825477,11/10/24_11:35:0.783,0,0,130,0,65526,65533,65529,996,126,65532,53,47
4925472,11/10/24_11:35:0.863,0,0,130,0,65526,65533,65529,996,126,65532,53,47
5026477,11/10/24_11:35:0.983,0,0,130,0,65526,65533,65529,996,126,65532,58,53
5126476,11/10/24_11:35:1.83,0,0,130,0,65526,65533,65529,996,126,65532,52,47
5226476,11/10/24_11:35:1.143,0,0,130,0,65526,65533,65529,997,126,65532,53,47
5326472,11/10/24_11:35:1.283,0,0,130,0,65526,65533,65529,997,126,65532,58,47
5426479,11/10/24_11:35:1.383,0,0,130,0,65526,65533,65529,996,126,65532,58,48
5526477,11/10/24_11:35:1.483,0,0,130,0,65526,65533,65529,996,126,65532,58,47
5626481,11/10/24_11:35:1.563,0,0,130,0,65526,65533,65529,996,126,65532,52,42
5735788,11/10/24_11:35:1.683,0,0,130,0,65526,65533,65529,996,126,65532,53,52
5835484,11/10/24_11:35:1.783,0,0,130,0,65526,65533,65529,997,126,65532,58,52
5935478,11/10/24_11:35:1.883,0,0,130,0,65526,65533,65529,996,126,65532,53,53
6035477,11/10/24_11:35:1.983,0,0,130,0,65526,65533,65529,996,126,65532,47,47
6135475,11/10/24_11:35:2.83,0,0,130,0,65526,65533,65529,996,126,65532,58,47
6235475,11/10/24_11:35:2.183,0,0,130,0,65526,65533,65529,997,126,65532,58,48
6335479,11/10/24_11:35:2.283,0,0,130,0,65526,65533,65529,996,126,65532,53,47
6436475,11/10/24_11:35:2.383,0,0,130,0,65526,65533,65529,996,126,65532,53,48
6536484,11/10/24_11:35:2.483,0,0,130,0,65526,65533,65529,997,126,65532,53,52
6636473,11/10/24_11:35:2.583,0,0,130,0,65526,65533,65529,996,126,65532,53,47
6736476,11/10/24_11:35:2.683,0,0,130,0,65526,65533,65529,997,126,65532,53,52
6836475,11/10/24_11:35:2.783,0,0,130,0,65526,65533,65529,996,127,65532,53,47
6936476,11/10/24_11:35:2.883,0,0,130,0,65526,65533,65529,996,127,65532,53,47
7036478,11/10/24_11:35:2.983,0,0,130,0,65526,65533,65529,997,127,65532,53,47
7137479,11/10/24_11:35:3.83,0,0,130,0,65526,65533,65529,997,127,65532,53,47
7237476,11/10/24_11:35:3.183,0,0,130,0,65526,65533,65529,996,127,65532,58,47
7337472,11/10/24_11:35:3.283,0,0,130,0,65526,65533,65529,996,127,65532,53,47
7437477,11/10/24_11:35:3.383,0,0,130,0,65526,65533,65529,996,127,65532,53,52
