Time,GLOBAL time,Water Temperature,Oil Temperature,num sats
517020,11/10/24_11:34:56.463,1580,1780,201326592
1516474,11/10/24_11:34:57.463,1579,1780,201326592
2516472,11/10/24_11:34:58.443,1578,1780,201326592
3516471,11/10/24_11:34:59.443,1578,1780,201326592
4516474,11/10/24_11:35:0.463,1576,1780,184549376
5516477,11/10/24_11:35:1.463,1576,1781,184549376
6516482,11/10/24_11:35:2.463,1575,1780,184549376
7524746,11/10/24_11:35:3.483,1574,1780,184549376
8524479,11/10/24_11:35:4.463,1574,1779,184549376
9524478,11/10/24_11:35:5.463,1574,1780,184549376
10526476,11/10/24_11:35:6.483,1572,1779,201326592
11526475,11/10/24_11:35:7.483,1572,1780,201326592
12526477,11/10/24_11:35:8.483,1571,1779,201326592
13534582,11/10/24_11:35:9.483,1571,1779,201326592
14534479,11/10/24_11:35:10.483,1570,1779,201326592
15534482,11/10/24_11:35:11.463,1569,1779,201326592
16534477,11/10/24_11:35:12.483,1569,1779,201326592
17534474,11/10/24_11:35:13.463,1569,1779,201326592
18534476,11/10/24_11:35:14.483,1568,1778,184549376
19543472,11/10/24_11:35:15.483,1567,1779,184549376
20543476,11/10/24_11:35:16.483,1567,1778,184549376
21543481,11/10/24_11:35:17.483,1566,1778,201326592
22544483,11/10/24_11:35:18.483,1566,1778,201326592
23544482,11/10/24_11:35:19.483,1566,1777,201326592
24544476,11/10/24_11:35:20.483,1565,1777,184549376
25553183,11/10/24_11:35:21.503,1564,1777,184549376
26552475,11/10/24_11:35:22.503,1564,1776,184549376
27552476,11/10/24_11:35:23.503,1564,1777,184549376
28552477,11/10/24_11:35:24.503,1564,1776,184549376
29552471,11/10/24_11:35:25.503,1563,1776,201326592
30552472,11/10/24_11:35:26.503,1563,1776,201326592
31557055,11/10/24_11:35:27.503,1563,1776,184549376
32556473,11/10/24_11:35:28.482,1563,1775,184549376
33556478,11/10/24_11:35:29.502,1562,1776,184549376
34556475,11/10/24_11:35:30.502,1561,1775,184549376
35556475,11/10/24_11:35:31.502,1561,1775,184549376
36556475,11/10/24_11:35:32.503,1561,1775,184549376
37565655,11/10/24_11:35:33.523,1561,1775,184549376
38565476,11/10/24_11:35:34.523,1561,1774,167772160
39565476,11/10/24_11:35:35.523,1561,1774,201326592
40566475,11/10/24_11:35:36.523,1560,1774,201326592
41566475,11/10/24_11:35:37.523,1560,1774,201326592
42566475,11/10/24_11:35:38.523,1560,1774,201326592
43574124,11/10/24_11:35:39.523,1560,1773,201326592
44573472,11/10/24_11:35:40.503,1560,1773,184549376
45573482,11/10/24_11:35:41.523,1559,1772,201326592
46573471,11/10/24_11:35:42.503,1559,1773,201326592
47573472,11/10/24_11:35:43.523,1560,1772,201326592
48573475,11/10/24_11:35:44.523,1560,1772,184549376
