Time, Global Time,Water temp,oil pres,Oil Temp
µsec, lmao,F,psi,F
1, 1,1.0000000,0.0145000,1.0000000
1000000, 1,10,1,10
930159,0/0/0_0:0:0.0,1289,268,1554
1031928,0/0/0_0:0:0.0,1289,268,1554
1131925,0/0/0_0:0:0.0,1289,268,1555
1231926,0/0/0_0:0:0.0,1289,268,1555
1331928,0/0/0_0:0:0.0,1289,268,1555
1431924,0/0/0_0:0:0.0,1289,268,1555
1531934,0/0/0_0:0:0.0,1290,267,1556
1631937,0/0/0_0:0:0.0,1290,268,1556
1731922,0/0/0_0:0:0.0,1290,270,1556
1831922,0/0/0_0:0:0.0,1290,268,1556
1931937,0/0/0_0:0:0.0,1290,268,1556
2041934,0/0/0_0:0:0.0,1291,268,1557
2141926,0/0/0_0:0:0.0,1290,268,1557
2241924,0/0/0_0:0:0.0,1291,268,1557
2341932,0/0/0_0:0:0.0,1291,268,1556
2441937,0/0/0_0:0:0.0,1291,268,1557
2541926,0/0/0_0:0:0.0,1291,268,1557
2641922,0/0/0_0:0:0.0,1291,270,1556
2741928,0/0/0_0:0:0.0,1291,268,1557
2841934,0/0/0_0:0:0.0,1292,270,1557
2941925,0/0/0_0:0:0.0,1292,268,1557
3041932,0/0/0_0:0:0.0,1292,268,1557
3141937,0/0/0_0:0:0.0,1292,268,1557
3241928,0/0/0_0:0:0.0,1293,268,1557
3341924,0/0/0_0:0:0.0,1292,268,1558
3441938,0/0/0_0:0:0.0,1292,268,1557
3541934,0/0/0_0:0:0.0,1292,267,1558
3661925,0/0/0_0:0:0.0,1292,268,1558
3796241,0/0/0_0:0:0.0,1292,268,1557
3952081,0/0/0_0:0:0.0,1292,268,1558
4105020,0/0/0_0:0:0.0,1293,267,1558
4377151,0/0/0_0:0:0.0,1293,268,1558
4551921,0/0/0_0:0:0.0,1293,268,1558
4750174,0/0/0_0:0:0.0,1293,268,1558
4851936,0/0/0_0:0:0.0,1293,268,1559
4951932,0/0/0_0:0:0.0,1293,268,1559
5051934,0/0/0_0:0:0.0,1293,268,1558
5151934,0/0/0_0:0:0.0,1294,268,1559
5251928,0/0/0_0:0:0.0,1293,270,1559
5351928,0/0/0_0:0:0.0,1294,268,1559
5451934,0/0/0_0:0:0.0,1294,268,1559
5561928,0/0/0_0:0:0.0,1294,267,1559
5661924,0/0/0_0:0:0.0,1293,268,1559
5761935,0/0/0_0:0:0.0,1293,268,1559
5861933,0/0/0_0:0:0.0,1293,268,1559
5961922,0/0/0_0:0:0.0,1294,270,1560
6061932,0/0/0_0:0:0.0,1294,268,1559
6161936,0/0/0_0:0:0.0,1294,268,1559
6261940,0/0/0_0:0:0.0,1294,268,1559
6361922,0/0/0_0:0:0.0,1294,267,1560
6461940,0/0/0_0:0:0.0,1294,268,1559
6571933,0/0/0_0:0:0.0,1294,268,1560
6671929,0/0/0_0:0:0.0,1294,268,1559
6771922,0/0/0_0:0:0.0,1294,268,1559
6871941,0/0/0_0:0:0.0,1294,268,1559
6971937,0/0/0_0:0:0.0,1294,267,1560
7071931,0/0/0_0:0:0.0,1293,267,1560
7171943,0/0/0_0:0:0.0,1294,268,1560
7271936,0/0/0_0:0:0.0,1294,268,1560
7371938,0/0/0_0:0:0.0,1295,268,1559
7471931,0/0/0_0:0:0.0,1294,268,1560
7581945,0/0/0_0:0:0.0,1294,268,1560
7681929,0/0/0_0:0:0.0,1294,268,1560
7781917,0/0/0_0:0:0.0,1295,270,1560
7881920,0/0/0_0:0:0.0,1294,268,1560
7981936,0/0/0_0:0:0.0,1294,268,1560
8081938,0/0/0_0:0:0.0,1294,268,1560
8181919,0/0/0_0:0:0.0,1294,268,1559
8281939,0/0/0_0:0:0.0,1294,268,1560
8381938,0/0/0_0:0:0.0,1294,268,1560
8481917,0/0/0_0:0:0.0,1294,270,1561
8591922,0/0/0_0:0:0.0,1294,268,1560
8691938,0/0/0_0:0:0.0,1294,268,1560
8791934,0/0/0_0:0:0.0,1294,270,1560
8891924,0/0/0_0:0:0.0,1294,270,1560
8991939,0/0/0_0:0:0.0,1294,268,1560
9091932,0/0/0_0:0:0.0,1294,270,1560
9191936,0/0/0_0:0:0.0,1294,268,1560
9291925,0/0/0_0:0:0.0,1294,270,1560
9391936,0/0/0_0:0:0.0,1294,270,1561
9491932,0/0/0_0:0:0.0,1295,270,1560
9601929,0/0/0_0:0:0.0,1294,270,1560
9701927,0/0/0_0:0:0.0,1294,270,1560
9801934,0/0/0_0:0:0.0,1294,268,1560
9901936,0/0/0_0:0:0.0,1293,270,1560
10001919,0/0/0_0:0:0.0,1294,268,1560
10101934,0/0/0_0:0:0.0,1294,270,1560
10201934,0/0/0_0:0:0.0,1294,270,1560
10301929,0/0/0_0:0:0.0,1294,270,1560
10401927,0/0/0_0:0:0.0,1294,270,1560
10501933,0/0/0_0:0:0.0,1294,270,1561
10611935,0/0/0_0:0:0.0,1294,270,1560
10711924,0/0/0_0:0:0.0,1294,270,1560
10811926,0/0/0_0:0:0.0,1294,270,1560
10911940,0/0/0_0:0:0.0,1294,268,1560
11011935,0/0/0_0:0:0.0,1294,270,1560
11111932,0/0/0_0:0:0.0,1295,268,1560
11211936,0/0/0_0:0:0.0,1295,268,1560
11311936,0/0/0_0:0:0.0,1295,270,1560
11411926,0/0/0_0:0:0.0,1294,270,1560
11511926,0/0/0_0:0:0.0,1294,268,1560
11621934,0/0/0_0:0:0.0,1295,267,1561
11721938,0/0/0_0:0:0.0,1294,270,1560
11821922,0/0/0_0:0:0.0,1294,270,1560
11921932,0/0/0_0:0:0.0,1294,270,1560
12021936,0/0/0_0:0:0.0,1295,268,1561
12121919,0/0/0_0:0:0.0,1294,270,1560
12221933,0/0/0_0:0:0.0,1295,270,1560
12321937,0/0/0_0:0:0.0,1294,268,1561
12421923,0/0/0_0:0:0.0,1294,270,1560
12521923,0/0/0_0:0:0.0,1294,270,1561
12631939,0/0/0_0:0:0.0,1294,270,1560
12731930,0/0/0_0:0:0.0,1294,270,1560
12831936,0/0/0_0:0:0.0,1295,268,1560
12931933,0/0/0_0:0:0.0,1294,270,1561
13031929,0/0/0_0:0:0.0,1294,270,1560
13131920,0/0/0_0:0:0.0,1294,268,1561
13231937,0/0/0_0:0:0.0,1294,270,1560
13331936,0/0/0_0:0:0.0,1294,270,1561
13431921,0/0/0_0:0:0.0,1294,270,1560
13531933,0/0/0_0:0:0.0,1293,270,1560
13641929,0/0/0_0:0:0.0,1294,270,1561
13741934,0/0/0_0:0:0.0,1294,270,1561
13841931,0/0/0_0:0:0.0,1294,270,1561
13941938,0/0/0_0:0:0.0,1294,270,1561
14041935,0/0/0_0:0:0.0,1294,270,1560
14141935,0/0/0_0:0:0.0,1294,268,1561
14241927,0/0/0_0:0:0.0,1294,270,1561
14341935,0/0/0_0:0:0.0,1294,270,1561
14441933,0/0/0_0:0:0.0,1294,270,1561
14541927,0/0/0_0:0:0.0,1294,268,1560
14651934,0/0/0_0:0:0.0,1294,268,1561
14751933,0/0/0_0:0:0.0,1294,270,1560
14851927,0/0/0_0:0:0.0,1294,270,1561
14951936,0/0/0_0:0:0.0,1294,270,1561
15051935,0/0/0_0:0:0.0,1294,270,1561
15151926,0/0/0_0:0:0.0,1294,270,1561
15251924,0/0/0_0:0:0.0,1294,270,1561
15351927,0/0/0_0:0:0.0,1294,270,1561
15451939,0/0/0_0:0:0.0,1294,270,1561
15551923,0/0/0_0:0:0.0,1293,270,1561
15661935,0/0/0_0:0:0.0,1294,270,1561
15761935,0/0/0_0:0:0.0,1294,270,1561
15861927,0/0/0_0:0:0.0,1294,270,1561
15961936,0/0/0_0:0:0.0,1294,270,1561
16061936,0/0/0_0:0:0.0,1294,270,1561
16161927,0/0/0_0:0:0.0,1295,270,1561
16261931,0/0/0_0:0:0.0,1294,270,1561
16361936,0/0/0_0:0:0.0,1294,270,1560
16461929,0/0/0_0:0:0.0,1295,270,1561
16561927,0/0/0_0:0:0.0,1295,270,1560
16671934,0/0/0_0:0:0.0,1295,270,1561
16771932,0/0/0_0:0:0.0,1295,270,1561
16871921,0/0/0_0:0:0.0,1294,270,1561
16971936,0/0/0_0:0:0.0,1295,270,1561
17071934,0/0/0_0:0:0.0,1295,270,1561
17171933,0/0/0_0:0:0.0,1295,270,1561
17271931,0/0/0_0:0:0.0,1295,270,1561
17367747,0/0/0_0:0:0.0,1295,270,1561
17471934,0/0/0_0:0:0.0,1295,268,1561
17571924,0/0/0_0:0:0.0,1295,270,1561
17681930,0/0/0_0:0:0.0,1295,270,1561
17781931,0/0/0_0:0:0.0,1296,270,1561
17881928,0/0/0_0:0:0.0,1296,267,1561
17981929,0/0/0_0:0:0.0,1296,270,1561
18081927,0/0/0_0:0:0.0,1296,270,1561
18181931,0/0/0_0:0:0.0,1296,270,1561
18281928,0/0/0_0:0:0.0,1296,268,1561
18381930,0/0/0_0:0:0.0,1296,270,1561
18481934,0/0/0_0:0:0.0,1296,270,1561
18581928,0/0/0_0:0:0.0,1296,270,1561
18691928,0/0/0_0:0:0.0,1296,270,1561
18791933,0/0/0_0:0:0.0,1297,270,1561
18891937,0/0/0_0:0:0.0,1297,270,1561
18991932,0/0/0_0:0:0.0,1297,270,1560
19091936,0/0/0_0:0:0.0,1296,270,1561
19191933,0/0/0_0:0:0.0,1297,270,1561
19291931,0/0/0_0:0:0.0,1297,270,1561
19391931,0/0/0_0:0:0.0,1297,270,1561
19491939,0/0/0_0:0:0.0,1297,270,1561
19591936,0/0/0_0:0:0.0,1298,270,1561
19701926,0/0/0_0:0:0.0,1297,270,1561
19801932,0/0/0_0:0:0.0,1298,270,1561
19901931,0/0/0_0:0:0.0,1298,270,1561
20001926,0/0/0_0:0:0.0,1298,270,1561
20101931,0/0/0_0:0:0.0,1298,270,1561
20201934,0/0/0_0:0:0.0,1298,270,1561
20301930,0/0/0_0:0:0.0,1298,270,1561
20401927,0/0/0_0:0:0.0,1298,270,1561
20501932,0/0/0_0:0:0.0,1298,268,1561
20601934,0/0/0_0:0:0.0,1298,270,1561
20711930,0/0/0_0:0:0.0,1299,270,1561
20811925,0/0/0_0:0:0.0,1299,270,1561
20911932,0/0/0_0:0:0.0,1299,270,1561
21011937,0/0/0_0:0:0.0,1299,270,1562
21111924,0/0/0_0:0:0.0,1299,270,1561
21211941,0/0/0_0:0:0.0,1299,270,1561
21311941,0/0/0_0:0:0.0,1300,270,1561
21411926,0/0/0_0:0:0.0,1300,270,1561
21511934,0/0/0_0:0:0.0,1300,270,1561
21611934,0/0/0_0:0:0.0,1300,270,1561
21721929,0/0/0_0:0:0.0,1300,270,1561
21821929,0/0/0_0:0:0.0,1300,270,1560
21921936,0/0/0_0:0:0.0,1301,270,1561
22021937,0/0/0_0:0:0.0,1301,270,1561
22121926,0/0/0_0:0:0.0,1301,270,1562
22221931,0/0/0_0:0:0.0,1301,270,1561
22321938,0/0/0_0:0:0.0,1301,267,1561
22421921,0/0/0_0:0:0.0,1301,270,1562
22521932,0/0/0_0:0:0.0,1301,270,1561
22621931,0/0/0_0:0:0.0,1301,270,1561
22731927,0/0/0_0:0:0.0,1301,270,1561
22831937,0/0/0_0:0:0.0,1301,270,1561
22931932,0/0/0_0:0:0.0,1301,270,1561
23031925,0/0/0_0:0:0.0,1302,270,1560
23131930,0/0/0_0:0:0.0,1302,270,1561
23231934,0/0/0_0:0:0.0,1302,268,1561
23331929,0/0/0_0:0:0.0,1302,270,1561
23431932,0/0/0_0:0:0.0,1301,270,1561
23531937,0/0/0_0:0:0.0,1302,270,1561
23631926,0/0/0_0:0:0.0,1301,270,1561
23741925,0/0/0_0:0:0.0,1302,270,1561
23841932,0/0/0_0:0:0.0,1302,270,1561
23941937,0/0/0_0:0:0.0,1302,270,1561
24041926,0/0/0_0:0:0.0,1302,270,1561
24141932,0/0/0_0:0:0.0,1302,270,1561
24241937,0/0/0_0:0:0.0,1302,270,1561
24341924,0/0/0_0:0:0.0,1302,270,1561
24441940,0/0/0_0:0:0.0,1302,270,1561
24541934,0/0/0_0:0:0.0,1303,270,1561
24641933,0/0/0_0:0:0.0,1302,270,1561
24751928,0/0/0_0:0:0.0,1302,270,1561
24851936,0/0/0_0:0:0.0,1303,270,1561
24951937,0/0/0_0:0:0.0,1303,268,1561
25047724,0/0/0_0:0:0.0,1303,265,1560
25151927,0/0/0_0:0:0.0,1303,270,1562
25251932,0/0/0_0:0:0.0,1303,270,1561
25351934,0/0/0_0:0:0.0,1304,270,1561
25451925,0/0/0_0:0:0.0,1303,270,1561
25551917,0/0/0_0:0:0.0,1303,270,1561
25651935,0/0/0_0:0:0.0,1303,270,1561
25761938,0/0/0_0:0:0.0,1304,268,1561
25861934,0/0/0_0:0:0.0,1303,270,1561
25961924,0/0/0_0:0:0.0,1303,270,1561
26061930,0/0/0_0:0:0.0,1303,270,1561
26161936,0/0/0_0:0:0.0,1304,270,1561
26261935,0/0/0_0:0:0.0,1303,270,1561
26361921,0/0/0_0:0:0.0,1304,270,1561
26461926,0/0/0_0:0:0.0,1304,270,1561
26561935,0/0/0_0:0:0.0,1304,270,1561
26661931,0/0/0_0:0:0.0,1304,270,1561
26771932,0/0/0_0:0:0.0,1305,270,1561
26871929,0/0/0_0:0:0.0,1304,270,1561
26971932,0/0/0_0:0:0.0,1305,270,1561
27071936,0/0/0_0:0:0.0,1304,270,1561
27171934,0/0/0_0:0:0.0,1304,270,1561
27271924,0/0/0_0:0:0.0,1304,270,1561
27371934,0/0/0_0:0:0.0,1305,270,1561
27471938,0/0/0_0:0:0.0,1304,270,1561
27571934,0/0/0_0:0:0.0,1305,270,1561
27671931,0/0/0_0:0:0.0,1305,268,1560
27781932,0/0/0_0:0:0.0,1305,270,1560
27881934,0/0/0_0:0:0.0,1305,270,1561
27981934,0/0/0_0:0:0.0,1305,270,1561
28081929,0/0/0_0:0:0.0,1306,270,1561
28181936,0/0/0_0:0:0.0,1306,270,1561
28277409,0/0/0_0:0:0.0,1306,270,1561
28381936,0/0/0_0:0:0.0,1305,270,1561
28481921,0/0/0_0:0:0.0,1306,270,1561
28581936,0/0/0_0:0:0.0,1306,270,1561
28681930,0/0/0_0:0:0.0,1306,270,1561
28791936,0/0/0_0:0:0.0,1306,270,1561
28891941,0/0/0_0:0:0.0,1307,270,1561
28991926,0/0/0_0:0:0.0,1306,270,1561
29091934,0/0/0_0:0:0.0,1306,267,1561
29191940,0/0/0_0:0:0.0,1307,267,1561
29291940,0/0/0_0:0:0.0,1306,270,1561
29391926,0/0/0_0:0:0.0,1307,270,1561
29491937,0/0/0_0:0:0.0,1307,270,1561
29591936,0/0/0_0:0:0.0,1307,270,1561
29691934,0/0/0_0:0:0.0,1307,270,1561
29801922,0/0/0_0:0:0.0,1307,270,1560
29901934,0/0/0_0:0:0.0,1307,270,1561
30001931,0/0/0_0:0:0.0,1307,270,1561
30101930,0/0/0_0:0:0.0,1308,270,1561
30201930,0/0/0_0:0:0.0,1307,270,1561
30301931,0/0/0_0:0:0.0,1307,270,1561
30401940,0/0/0_0:0:0.0,1307,270,1561
30501927,0/0/0_0:0:0.0,1308,270,1561
30601929,0/0/0_0:0:0.0,1308,270,1561
30701936,0/0/0_0:0:0.0,1309,268,1561
30811931,0/0/0_0:0:0.0,1309,270,1561
30911926,0/0/0_0:0:0.0,1308,270,1560
31011921,0/0/0_0:0:0.0,1309,268,1561
31111934,0/0/0_0:0:0.0,1309,270,1560
31211930,0/0/0_0:0:0.0,1309,270,1560
31311926,0/0/0_0:0:0.0,1309,270,1560
31411941,0/0/0_0:0:0.0,1309,270,1561
31511932,0/0/0_0:0:0.0,1310,270,1561
31611927,0/0/0_0:0:0.0,1309,268,1561
31711925,0/0/0_0:0:0.0,1310,268,1561
31821938,0/0/0_0:0:0.0,1309,270,1561
31921932,0/0/0_0:0:0.0,1309,270,1561
32021931,0/0/0_0:0:0.0,1309,270,1561
32121929,0/0/0_0:0:0.0,1310,270,1560
32221930,0/0/0_0:0:0.0,1310,270,1561
32321922,0/0/0_0:0:0.0,1310,270,1560
32421936,0/0/0_0:0:0.0,1310,270,1561
32521938,0/0/0_0:0:0.0,1310,270,1561
32621926,0/0/0_0:0:0.0,1310,270,1561
32721933,0/0/0_0:0:0.0,1310,270,1561
32841933,0/0/0_0:0:0.0,1310,270,1561
32941928,0/0/0_0:0:0.0,1310,270,1561
33041938,0/0/0_0:0:0.0,1312,270,1560
33141940,0/0/0_0:0:0.0,1311,270,1560
33241926,0/0/0_0:0:0.0,1311,270,1560
33341926,0/0/0_0:0:0.0,1312,270,1561
33441933,0/0/0_0:0:0.0,1312,270,1561
33541934,0/0/0_0:0:0.0,1312,270,1561
33641924,0/0/0_0:0:0.0,1312,270,1561
33741931,0/0/0_0:0:0.0,1312,270,1560
33851938,0/0/0_0:0:0.0,1312,270,1561
33951928,0/0/0_0:0:0.0,1312,272,1560
34051934,0/0/0_0:0:0.0,1312,270,1560
34151934,0/0/0_0:0:0.0,1313,270,1560
34251926,0/0/0_0:0:0.0,1313,270,1560
34351921,0/0/0_0:0:0.0,1313,270,1560
34451934,0/0/0_0:0:0.0,1313,270,1561
34551935,0/0/0_0:0:0.0,1314,270,1560
34651919,0/0/0_0:0:0.0,1313,270,1561
34751934,0/0/0_0:0:0.0,1314,270,1561
34861941,0/0/0_0:0:0.0,1314,270,1560
34961928,0/0/0_0:0:0.0,1314,270,1561
35061926,0/0/0_0:0:0.0,1314,272,1560
35161932,0/0/0_0:0:0.0,1315,270,1560
35261935,0/0/0_0:0:0.0,1314,270,1560
35361928,0/0/0_0:0:0.0,1315,270,1560
35461930,0/0/0_0:0:0.0,1315,270,1561
35561928,0/0/0_0:0:0.0,1316,270,1560
35661927,0/0/0_0:0:0.0,1315,270,1560
35761939,0/0/0_0:0:0.0,1315,270,1560
35871933,0/0/0_0:0:0.0,1316,272,1560
35971922,0/0/0_0:0:0.0,1315,270,1561
36071937,0/0/0_0:0:0.0,1316,270,1560
36171942,0/0/0_0:0:0.0,1316,270,1560
36271935,0/0/0_0:0:0.0,1316,270,1560
36371929,0/0/0_0:0:0.0,1316,272,1561
36471936,0/0/0_0:0:0.0,1317,270,1560
36571938,0/0/0_0:0:0.0,1317,270,1560
36671928,0/0/0_0:0:0.0,1317,270,1560
36771931,0/0/0_0:0:0.0,1317,270,1560
36881939,0/0/0_0:0:0.0,1318,270,1560
36981944,0/0/0_0:0:0.0,1317,268,1560
37081926,0/0/0_0:0:0.0,1318,270,1561
37181931,0/0/0_0:0:0.0,1318,270,1561
37281937,0/0/0_0:0:0.0,1318,270,1560
37381925,0/0/0_0:0:0.0,1319,270,1560
37481930,0/0/0_0:0:0.0,1318,270,1560
37581932,0/0/0_0:0:0.0,1318,270,1561
37681932,0/0/0_0:0:0.0,1319,270,1560
37781926,0/0/0_0:0:0.0,1318,270,1560
37891934,0/0/0_0:0:0.0,1318,272,1560
37991932,0/0/0_0:0:0.0,1318,270,1560
38091924,0/0/0_0:0:0.0,1319,270,1560
38191931,0/0/0_0:0:0.0,1319,270,1560
38291936,0/0/0_0:0:0.0,1319,270,1560
38391932,0/0/0_0:0:0.0,1319,270,1560
38491925,0/0/0_0:0:0.0,1319,270,1560
38591933,0/0/0_0:0:0.0,1319,270,1560
38691932,0/0/0_0:0:0.0,1320,270,1560
38791926,0/0/0_0:0:0.0,1320,270,1560
38901926,0/0/0_0:0:0.0,1319,270,1560
39001930,0/0/0_0:0:0.0,1320,270,1560
39101934,0/0/0_0:0:0.0,1320,270,1560
39201921,0/0/0_0:0:0.0,1320,270,1560
39301932,0/0/0_0:0:0.0,1320,270,1560
39401933,0/0/0_0:0:0.0,1321,270,1560
39501926,0/0/0_0:0:0.0,1320,270,1560
39601930,0/0/0_0:0:0.0,1320,270,1560
39701932,0/0/0_0:0:0.0,1320,270,1560
39801939,0/0/0_0:0:0.0,1321,270,1560
39911932,0/0/0_0:0:0.0,1321,270,1560
40011938,0/0/0_0:0:0.0,1321,270,1560
40111936,0/0/0_0:0:0.0,1321,270,1560
40211928,0/0/0_0:0:0.0,1321,270,1560
40311929,0/0/0_0:0:0.0,1321,270,1560
40411939,0/0/0_0:0:0.0,1322,270,1560
40511929,0/0/0_0:0:0.0,1321,270,1560
40611927,0/0/0_0:0:0.0,1322,272,1560
