Time, Global Time,Voltage
µsec, lmao,V
1, 1,1.0000000
1000000, 1,10
930159,0/0/0_0:0:0.0,121
1931937,0/0/0_0:0:0.0,121
2941925,0/0/0_0:0:0.0,121
4105020,0/0/0_0:0:0.0,121
5451934,0/0/0_0:0:0.0,121
6461940,0/0/0_0:0:0.0,121
7471931,0/0/0_0:0:0.0,121
8481917,0/0/0_0:0:0.0,121
9491932,0/0/0_0:0:0.0,120
10501933,0/0/0_0:0:0.0,121
11511926,0/0/0_0:0:0.0,121
12521923,0/0/0_0:0:0.0,120
13531933,0/0/0_0:0:0.0,120
14541927,0/0/0_0:0:0.0,120
15551923,0/0/0_0:0:0.0,120
16561927,0/0/0_0:0:0.0,120
17571924,0/0/0_0:0:0.0,120
18581928,0/0/0_0:0:0.0,120
19591936,0/0/0_0:0:0.0,120
20601934,0/0/0_0:0:0.0,120
21611934,0/0/0_0:0:0.0,120
22621931,0/0/0_0:0:0.0,120
23631926,0/0/0_0:0:0.0,120
24641933,0/0/0_0:0:0.0,120
25651935,0/0/0_0:0:0.0,120
26661931,0/0/0_0:0:0.0,120
27671931,0/0/0_0:0:0.0,120
28681930,0/0/0_0:0:0.0,120
29691934,0/0/0_0:0:0.0,120
30701936,0/0/0_0:0:0.0,120
31711925,0/0/0_0:0:0.0,120
32721933,0/0/0_0:0:0.0,120
33741931,0/0/0_0:0:0.0,120
34751934,0/0/0_0:0:0.0,120
35761939,0/0/0_0:0:0.0,120
36771931,0/0/0_0:0:0.0,120
37781926,0/0/0_0:0:0.0,120
38791926,0/0/0_0:0:0.0,120
39801939,0/0/0_0:0:0.0,120
40811926,0/0/0_0:0:0.0,120
41821925,0/0/0_0:0:0.0,120
42831937,0/0/0_0:0:0.0,120
43841933,0/0/0_0:0:0.0,120
44851925,0/0/0_0:0:0.0,120
45861934,0/0/0_0:0:0.0,120
46871924,0/0/0_0:0:0.0,120
47881936,0/0/0_0:0:0.0,120
Time, Global Time,Voltage
µsec, lmao,V
1, 1,1.0000000
1000000, 1,10
942849,0/0/0_0:0:0.0,123
1941929,0/0/0_0:0:0.0,123
2951932,0/0/0_0:0:0.0,123
3961939,0/0/0_0:0:0.0,123
4971928,0/0/0_0:0:0.0,123
5981928,0/0/0_0:0:0.0,123
6987498,0/0/0_0:0:0.0,124
7991934,0/0/0_0:0:0.0,124
9001938,0/0/0_0:0:0.0,124
