Time,GLOBAL time,MPH,RPM,Voltage,Fuel Pressure,Pitot 1,Pitot 2,Pitot 3,Manifold Absolute Pressure,Lambda,pitot 4,Brake Pressure Front,Brake Pressure Rear
Time,GLOBAL time,MPH,RPM,Voltage,Fuel Pressure,Pitot 1,Pitot 2,Pitot 3,Manifold Absolute Pressure,Lambda,pitot 4,Brake Pressure Front,Brake Pressure Rear
3546225,11/10/24_10:19:54.728,0,0,130,1,65526,65533,65529,996,114,65532,42,31
3646044,11/10/24_10:19:54.808,0,0,130,1,65526,65533,65529,996,115,65532,47,32
3766041,11/10/24_10:19:54.948,0,0,130,1,65526,65533,65529,996,115,65532,42,32
3866046,11/10/24_10:19:55.48,0,0,130,1,65526,65533,65529,996,115,65532,47,37
4004042,11/10/24_10:19:55.188,0,0,130,1,65526,65533,65529,996,115,65533,42,37
4104043,11/10/24_10:19:55.288,0,0,130,1,65526,65533,65529,996,115,65532,47,36
4204039,11/10/24_10:19:55.368,0,0,130,1,65526,65533,65529,996,115,65532,48,38
4304043,11/10/24_10:19:55.488,0,0,130,1,65526,65533,65529,996,115,65532,47,37
4404042,11/10/24_10:19:55.588,0,0,130,1,65526,65533,65529,996,115,65532,47,32
4504047,11/10/24_10:19:55.688,0,0,130,1,65526,65533,65529,996,115,65532,47,37
4615043,11/10/24_10:19:55.788,0,0,130,1,65526,65533,65529,996,115,65532,42,31
4715043,11/10/24_10:19:55.908,0,0,130,1,65526,65533,65529,996,115,65532,47,31
4815043,11/10/24_10:19:56.8,0,0,130,1,65526,65533,65529,996,115,65532,47,36
4915040,11/10/24_10:19:56.108,0,0,130,1,65526,65533,65529,996,115,65532,42,37
5015042,11/10/24_10:19:56.208,0,0,130,1,65526,65533,65529,996,115,65532,42,36
5115050,11/10/24_10:19:56.308,0,0,130,1,65526,65533,65529,996,115,65532,47,32
5215048,11/10/24_10:19:56.388,0,0,130,1,65526,65533,65529,996,115,65532,47,37
5329041,11/10/24_10:19:56.508,0,0,130,1,65526,65533,65529,996,115,65532,47,36
5429050,11/10/24_10:19:56.628,0,0,130,1,65526,65533,65529,996,115,65532,42,36
5532049,11/10/24_10:19:56.728,0,0,130,1,65526,65533,65529,996,115,65532,42,31
5638044,11/10/24_10:19:56.828,0,0,130,1,65526,65533,65529,996,115,65532,47,31
5738044,11/10/24_10:19:56.928,0,0,130,1,65526,65533,65529,996,115,65532,42,32
5838042,11/10/24_10:19:57.28,0,0,130,1,65526,65533,65529,996,115,65532,47,37
5938056,11/10/24_10:19:57.128,0,0,130,1,65526,65533,65529,996,115,65532,47,32
6047050,11/10/24_10:19:57.208,0,0,130,1,65526,65533,65529,996,116,65532,47,37
6151043,11/10/24_10:19:57.348,0,0,130,1,65526,65533,65529,996,116,65532,42,37
6251048,11/10/24_10:19:57.448,0,0,130,1,65526,65533,65529,996,116,65532,47,37
6358052,11/10/24_10:19:57.548,0,0,130,1,65526,65532,65529,996,116,65532,47,36
6458049,11/10/24_10:19:57.648,0,0,130,1,65526,65533,65529,996,116,65532,47,42
6558049,11/10/24_10:19:57.748,0,0,130,1,65526,65533,65529,996,116,65532,42,32
6677045,11/10/24_10:19:57.868,0,0,130,1,65526,65533,65529,996,116,65533,47,32
6777059,11/10/24_10:19:57.928,0,0,130,1,65526,65533,65529,996,116,65532,47,36
6881044,11/10/24_10:19:58.68,0,0,130,1,65526,65533,65529,996,116,65532,47,37
6981048,11/10/24_10:19:58.168,0,0,130,1,65526,65533,65529,996,116,65532,42,32
7081046,11/10/24_10:19:58.268,0,0,130,1,65526,65533,65529,996,116,65532,47,37
7190040,11/10/24_10:19:58.348,0,0,130,1,65526,65533,65529,996,116,65532,42,36
7290045,11/10/24_10:19:58.488,0,0,130,1,65526,65533,65529,996,116,65532,42,31
7396043,11/10/24_10:19:58.588,0,0,130,1,65526,65533,65529,996,116,65532,47,37
7503042,11/10/24_10:19:58.688,0,0,130,1,65526,65533,65529,996,116,65532,42,36
7603039,11/10/24_10:19:58.788,0,0,130,1,65526,65533,65529,996,116,65532,42,36
7703043,11/10/24_10:19:58.888,0,0,130,1,65526,65533,65529,996,116,65532,42,32
7803043,11/10/24_10:19:58.988,0,0,130,1,65526,65533,65529,996,116,65532,37,31
7903047,11/10/24_10:19:59.88,0,0,130,1,65526,65533,65529,996,116,65532,42,36
8011039,11/10/24_10:19:59.188,0,0,130,1,65526,65533,65529,996,116,65532,42,36
