Time,GLOBAL time,Water Temperature,Oil Temperature,num sats
Time,GLOBAL time,Water Temperature,Oil Temperature,num sats
3545259,11/10/24_10:19:54.728,1624,1824,167772160
4545046,11/10/24_10:19:55.728,1622,1825,167772160
5545044,11/10/24_10:19:56.728,1621,1826,167772160
6545042,11/10/24_10:19:57.728,1620,1826,167772160
7545043,11/10/24_10:19:58.728,1618,1826,167772160
8545047,11/10/24_10:19:59.728,1617,1826,167772160
9551042,11/10/24_10:20:0.748,1616,1826,167772160
10682143,11/10/24_10:20:1.868,1615,1827,167772160
11682051,11/10/24_10:20:2.868,1613,1827,167772160
12682042,11/10/24_10:20:3.869,1612,1827,167772160
13690051,11/10/24_10:20:4.889,1610,1827,150994944
14690048,11/10/24_10:20:5.869,1609,1827,167772160
15690046,11/10/24_10:20:6.889,1607,1827,167772160
16738909,11/10/24_10:20:7.929,1605,1827,167772160
17739043,11/10/24_10:20:8.929,1604,1827,167772160
18739046,11/10/24_10:20:9.929,1602,1827,167772160
19744044,11/10/24_10:20:10.929,1601,1828,167772160
20744059,11/10/24_10:20:11.929,1600,1827,150994944
21744043,11/10/24_10:20:12.929,1598,1827,167772160
22812607,11/10/24_10:20:14.9,1597,1827,167772160
23812049,11/10/24_10:20:15.9,1595,1827,167772160
24812042,11/10/24_10:20:16.9,1594,1828,167772160
25812043,11/10/24_10:20:17.9,1593,1827,167772160
26812042,11/10/24_10:20:18.9,1592,1827,167772160
27812042,11/10/24_10:20:19.9,1591,1827,150994944
28865715,11/10/24_10:20:20.49,1589,1827,150994944
29865058,11/10/24_10:20:21.49,1588,1827,150994944
30865040,11/10/24_10:20:22.49,1587,1827,150994944
31865047,11/10/24_10:20:23.49,1586,1827,167772160
32865044,11/10/24_10:20:24.49,1585,1828,167772160
33865051,11/10/24_10:20:25.49,1584,1827,167772160
34924255,11/10/24_10:20:26.109,1583,1827,150994944
35924043,11/10/24_10:20:27.109,1582,1827,134217728
36924049,11/10/24_10:20:28.99,1581,1826,150994944
37924049,11/10/24_10:20:29.109,1580,1827,150994944
38924049,11/10/24_10:20:30.109,1579,1826,150994944
39924052,11/10/24_10:20:31.109,1578,1827,167772160
40942315,11/10/24_10:20:32.129,1578,1826,167772160
41942049,11/10/24_10:20:33.129,1577,1826,167772160
42942044,11/10/24_10:20:34.129,1576,1826,184549376
43958049,11/10/24_10:20:35.149,1576,1826,184549376
44958048,11/10/24_10:20:36.149,1575,1826,184549376
45958043,11/10/24_10:20:37.149,1574,1826,184549376
47001132,11/10/24_10:20:38.169,1573,1825,184549376
48001043,11/10/24_10:20:39.169,1572,1825,184549376
49001047,11/10/24_10:20:40.169,1572,1825,184549376
50005040,11/10/24_10:20:41.149,1571,1825,184549376
51005051,11/10/24_10:20:42.149,1570,1825,184549376
52005043,11/10/24_10:20:43.189,1570,1824,184549376
53075082,11/10/24_10:20:44.269,1569,1824,184549376
54075054,11/10/24_10:20:45.269,1568,1824,184549376
55075044,11/10/24_10:20:46.269,1568,1824,184549376
56075039,11/10/24_10:20:47.269,1567,1824,184549376
57075044,11/10/24_10:20:48.249,1567,1824,184549376
58075040,11/10/24_10:20:49.249,1566,1824,184549376
59143247,11/10/24_10:20:50.329,1565,1823,167772160
60143043,11/10/24_10:20:51.329,1564,1823,167772160
61143048,11/10/24_10:20:52.329,1564,1823,167772160
62148049,11/10/24_10:20:53.329,1564,1823,150994944
63148046,11/10/24_10:20:54.329,1563,1822,167772160
64148050,11/10/24_10:20:55.329,1563,1823,167772160
65389888,11/10/24_10:20:56.589,1561,1822,150994944
66389049,11/10/24_10:20:57.569,1561,1822,167772160
67389045,11/10/24_10:20:58.569,1560,1822,167772160
68397043,11/10/24_10:20:59.589,1560,1821,167772160
69397045,11/10/24_10:21:0.589,1559,1821,167772160
70397040,11/10/24_10:21:1.589,1558,1821,167772160
71449709,11/10/24_10:21:2.649,1558,1820,167772160
72449052,11/10/24_10:21:3.629,1557,1820,167772160
73449051,11/10/24_10:21:4.629,1557,1819,167772160
74454044,11/10/24_10:21:5.649,1556,1818,167772160
75454048,11/10/24_10:21:6.650,1555,1818,167772160
76454044,11/10/24_10:21:7.650,1555,1819,167772160
77503044,11/10/24_10:21:8.690,1555,1818,167772160
78503055,11/10/24_10:21:9.690,1555,1817,167772160
79503039,11/10/24_10:21:10.689,1554,1817,167772160
80517048,11/10/24_10:21:11.709,1554,1816,167772160
81517050,11/10/24_10:21:12.709,1554,1816,167772160
82517045,11/10/24_10:21:13.709,1554,1816,167772160
83584518,11/10/24_10:21:14.769,1554,1816,167772160
84584040,11/10/24_10:21:15.769,1554,1816,167772160
85584042,11/10/24_10:21:16.769,1553,1813,167772160
86587038,11/10/24_10:21:17.769,1553,1815,167772160
87587043,11/10/24_10:21:18.769,1553,1813,184549376
88587043,11/10/24_10:21:19.769,1553,1813,184549376
89615753,11/10/24_10:21:20.809,1553,1813,184549376
90615049,11/10/24_10:21:21.809,1553,1812,184549376
91615049,11/10/24_10:21:22.809,1553,1812,167772160
92617041,11/10/24_10:21:23.809,1553,1812,184549376
93617047,11/10/24_10:21:24.809,1554,1812,184549376
94617042,11/10/24_10:21:25.809,1554,1811,184549376
95648448,11/10/24_10:21:26.809,1554,1811,167772160
96648038,11/10/24_10:21:27.809,1554,1810,167772160
97648051,11/10/24_10:21:28.809,1554,1809,167772160
98649045,11/10/24_10:21:29.789,1554,1808,167772160
99649044,11/10/24_10:21:30.789,1554,1808,184549376
100649052,11/10/24_10:21:31.829,1554,1808,167772160
101704997,11/10/24_10:21:32.889,1554,1808,184549376
102705044,11/10/24_10:21:33.889,1554,1807,184549376
103705045,11/10/24_10:21:34.889,1554,1807,184549376
104710043,11/10/24_10:21:35.889,1554,1807,184549376
105710047,11/10/24_10:21:36.889,1555,1806,184549376
106713040,11/10/24_10:21:37.909,1554,1807,184549376
107763706,11/10/24_10:21:38.949,1554,1805,184549376
108763042,11/10/24_10:21:39.949,1554,1805,184549376
109763043,11/10/24_10:21:40.949,1554,1804,184549376
110763044,11/10/24_10:21:41.949,1555,1804,184549376
111763042,11/10/24_10:21:42.949,1554,1803,184549376
112763044,11/10/24_10:21:43.949,1554,1802,184549376
113829099,11/10/24_10:21:45.9,1555,1802,184549376
114829047,11/10/24_10:21:46.9,1554,1802,184549376
115829043,11/10/24_10:21:47.9,1554,1801,184549376
116835042,11/10/24_10:21:48.29,1555,1800,184549376
117835042,11/10/24_10:21:49.29,1555,1800,184549376
118835045,11/10/24_10:21:50.29,1555,1800,184549376
119964912,11/10/24_10:21:51.149,1556,1799,184549376
120965043,11/10/24_10:21:52.149,1555,1799,184549376
121965048,11/10/24_10:21:53.149,1555,1799,184549376
122971048,11/10/24_10:21:54.169,1555,1797,184549376
123971042,11/10/24_10:21:55.169,1555,1797,184549376
124972038,11/10/24_10:21:56.149,1555,1796,184549376
125980868,11/10/24_10:21:57.169,1556,1796,184549376
126980045,11/10/24_10:21:58.169,1555,1795,184549376
127980046,11/10/24_10:21:59.169,1556,1795,184549376
128980046,11/10/24_10:22:0.169,1557,1794,184549376
129980045,11/10/24_10:22:1.169,1556,1793,184549376
130980054,11/10/24_10:22:2.169,1557,1793,184549376
131984244,11/10/24_10:22:3.169,1557,1792,184549376
132984042,11/10/24_10:22:4.169,1557,1791,184549376
133984043,11/10/24_10:22:5.169,1557,1791,167772160
134985043,11/10/24_10:22:6.169,1557,1791,167772160
135985043,11/10/24_10:22:7.169,1557,1790,167772160
136985042,11/10/24_10:22:8.169,1557,1790,167772160
137992776,11/10/24_10:22:9.190,1557,1788,167772160
138992041,11/10/24_10:22:10.190,1557,1788,167772160
139992038,11/10/24_10:22:11.190,1557,1788,167772160
140992039,11/10/24_10:22:12.170,1558,1787,167772160
141992040,11/10/24_10:22:13.150,1558,1786,167772160
142992058,11/10/24_10:22:14.170,1558,1786,184549376
144004540,11/10/24_10:22:15.190,1559,1785,184549376
145004043,11/10/24_10:22:16.190,1559,1784,184549376
146004043,11/10/24_10:22:17.190,1560,1784,184549376
147004042,11/10/24_10:22:18.190,1561,1783,184549376
148004047,11/10/24_10:22:19.190,1561,1782,167772160
149004046,11/10/24_10:22:20.190,1561,1782,167772160
150011995,11/10/24_10:22:21.210,1561,1781,167772160
151012046,11/10/24_10:22:22.210,1562,1780,167772160
152012047,11/10/24_10:22:23.210,1562,1779,167772160
153012045,11/10/24_10:22:24.210,1563,1780,184549376
154012044,11/10/24_10:22:25.190,1563,1779,184549376
155013039,11/10/24_10:22:26.190,1564,1779,184549376
156016741,11/10/24_10:22:27.210,1564,1778,184549376
157016048,11/10/24_10:22:28.190,1563,1777,184549376
158016042,11/10/24_10:22:29.190,1564,1776,167772160
159016051,11/10/24_10:22:30.210,1564,1776,167772160
160016047,11/10/24_10:22:31.210,1563,1775,167772160
161016043,11/10/24_10:22:32.210,1563,1774,184549376
162024218,11/10/24_10:22:33.210,1563,1774,167772160
163024043,11/10/24_10:22:34.210,1561,1773,184549376
164024042,11/10/24_10:22:35.210,1561,1772,184549376
165025042,11/10/24_10:22:36.210,1561,1771,184549376
166025042,11/10/24_10:22:37.210,1560,1772,184549376
167025042,11/10/24_10:22:38.210,1559,1771,184549376
168028722,11/10/24_10:22:39.210,1559,1770,167772160
169028039,11/10/24_10:22:40.210,1559,1769,184549376
170028050,11/10/24_10:22:41.210,1559,1768,184549376
171028048,11/10/24_10:22:42.210,1558,1768,184549376
172028049,11/10/24_10:22:43.210,1557,1767,167772160
173028039,11/10/24_10:22:44.170,1556,1767,167772160
174040267,11/10/24_10:22:45.230,1557,1765,167772160
175040043,11/10/24_10:22:46.230,1556,1765,184549376
176040048,11/10/24_10:22:47.230,1556,1764,167772160
177040043,11/10/24_10:22:48.230,1556,1765,167772160
178040045,11/10/24_10:22:49.230,1555,1762,167772160
179040048,11/10/24_10:22:50.230,1555,1762,184549376
180048265,11/10/24_10:22:51.230,1555,1762,184549376
181048043,11/10/24_10:22:52.230,1555,1761,184549376
182048047,11/10/24_10:22:53.230,1554,1760,184549376
183048045,11/10/24_10:22:54.230,1555,1759,184549376
184048038,11/10/24_10:22:55.230,1554,1758,184549376
185049039,11/10/24_10:22:56.210,1554,1758,167772160
186057929,11/10/24_10:22:57.250,1554,1758,184549376
187058043,11/10/24_10:22:58.210,1554,1757,184549376
188058043,11/10/24_10:22:59.250,1555,1757,184549376
189058043,11/10/24_10:23:0.250,1554,1756,184549376
190058044,11/10/24_10:23:1.250,1554,1755,184549376
191058044,11/10/24_10:23:2.250,1554,1754,184549376
192066407,11/10/24_10:23:3.250,1555,1754,184549376
193066043,11/10/24_10:23:4.250,1554,1753,184549376
194066043,11/10/24_10:23:5.250,1555,1752,184549376
195067042,11/10/24_10:23:6.249,1554,1752,167772160
196067043,11/10/24_10:23:7.249,1555,1751,184549376
197067043,11/10/24_10:23:8.249,1556,1751,167772160
198075282,11/10/24_10:23:9.249,1556,1750,167772160
199075039,11/10/24_10:23:10.250,1557,1749,167772160
200075039,11/10/24_10:23:11.270,1557,1749,184549376
201075042,11/10/24_10:23:12.250,1558,1748,184549376
202075043,11/10/24_10:23:13.270,1558,1748,184549376
203076042,11/10/24_10:23:14.270,1558,1747,184549376
204079931,11/10/24_10:23:15.270,1559,1747,184549376
205080044,11/10/24_10:23:16.270,1560,1745,184549376
206080042,11/10/24_10:23:17.270,1561,1745,184549376
207080044,11/10/24_10:23:18.270,1561,1745,184549376
208080042,11/10/24_10:23:19.270,1561,1744,167772160
209080042,11/10/24_10:23:20.270,1561,1743,184549376
210088639,11/10/24_10:23:21.270,1562,1742,184549376
211088042,11/10/24_10:23:22.270,1562,1742,184549376
212088039,11/10/24_10:23:23.270,1563,1741,184549376
213088039,11/10/24_10:23:24.270,1563,1741,184549376
214088039,11/10/24_10:23:25.250,1564,1741,184549376
215089039,11/10/24_10:23:26.250,1565,1740,184549376
216098047,11/10/24_10:23:27.290,1565,1739,167772160
217098052,11/10/24_10:23:28.290,1567,1738,184549376
218098042,11/10/24_10:23:29.290,1568,1738,184549376
219098044,11/10/24_10:23:30.290,1570,1738,184549376
220098046,11/10/24_10:23:31.290,1571,1737,167772160
221098044,11/10/24_10:23:32.290,1572,1736,167772160
222106475,11/10/24_10:23:33.290,1574,1736,167772160
223106042,11/10/24_10:23:34.290,1576,1736,184549376
224106042,11/10/24_10:23:35.290,1577,1735,184549376
225107042,11/10/24_10:23:36.290,1578,1734,184549376
226107039,11/10/24_10:23:37.290,1581,1733,184549376
227107039,11/10/24_10:23:38.290,1582,1733,184549376
228110905,11/10/24_10:23:39.270,1582,1732,184549376
229110052,11/10/24_10:23:37.290,1583,1731,184549376
230110042,11/10/24_10:23:38.270,1584,1731,184549376
231110046,11/10/24_10:23:39.290,1585,1731,184549376
232110043,11/10/24_10:23:40.290,1585,1731,184549376
233111043,11/10/24_10:23:41.290,1586,1730,184549376
234118942,11/10/24_10:23:42.310,1587,1729,184549376
235119042,11/10/24_10:23:43.310,1588,1728,184549376
236119044,11/10/24_10:23:44.310,1588,1728,184549376
237119046,11/10/24_10:23:45.310,1588,1728,184549376
238119042,11/10/24_10:23:46.310,1589,1727,184549376
239119042,11/10/24_10:23:47.310,1589,1727,184549376
240127503,11/10/24_10:23:48.310,1589,1726,184549376
241127039,11/10/24_10:23:49.310,1590,1726,184549376
242127038,11/10/24_10:23:50.310,1590,1725,184549376
243128044,11/10/24_10:23:51.290,1591,1725,184549376
244128044,11/10/24_10:23:52.310,1591,1724,184549376
245128044,11/10/24_10:23:53.270,1591,1724,184549376
246136040,11/10/24_10:23:54.330,1591,1723,184549376
247136043,11/10/24_10:23:55.330,1592,1723,184549376
248136046,11/10/24_10:23:56.330,1592,1722,184549376
249136043,11/10/24_10:23:57.330,1593,1713,167772160
250136044,11/10/24_10:23:58.330,1594,1699,184549376
251136044,11/10/24_10:23:59.330,1600,1685,184549376
252144470,11/10/24_10:24:0.330,1610,1671,184549376
253144047,11/10/24_10:24:1.330,1621,1659,184549376
254144044,11/10/24_10:24:2.330,1633,1648,184549376
255145042,11/10/24_10:24:3.330,1644,1641,184549376
256145041,11/10/24_10:24:4.330,1653,1633,184549376
257145041,11/10/24_10:24:5.330,1658,1628,184549376
258153334,11/10/24_10:24:6.330,1662,1623,184549376
259153052,11/10/24_10:24:7.330,1664,1619,184549376
260153092,11/10/24_10:24:8.331,1665,1616,184549376
261153046,11/10/24_10:24:9.331,1663,1614,184549376
262153050,11/10/24_10:24:10.331,1660,1612,184549376
263154042,11/10/24_10:24:11.351,1656,1611,184549376
264162646,11/10/24_10:24:12.351,1650,1610,184549376
265162042,11/10/24_10:24:13.351,1644,1610,184549376
266162043,11/10/24_10:24:14.351,1637,1609,184549376
267162050,11/10/24_10:24:15.351,1631,1608,184549376
268162050,11/10/24_10:24:16.351,1626,1608,184549376
269162050,11/10/24_10:24:17.351,1622,1608,184549376
270165943,11/10/24_10:24:18.331,1618,1609,167772160
271166039,11/10/24_10:24:19.351,1617,1609,184549376
272166042,11/10/24_10:24:20.351,1616,1610,184549376
273167042,11/10/24_10:24:21.351,1617,1609,184549376
274167043,11/10/24_10:24:22.351,1617,1610,184549376
275167042,11/10/24_10:24:23.351,1619,1611,184549376
276175094,11/10/24_10:24:24.371,1620,1612,184549376
277175043,11/10/24_10:24:25.351,1622,1614,184549376
278175038,11/10/24_10:24:26.331,1624,1614,184549376
279175043,11/10/24_10:24:27.371,1625,1616,184549376
280175042,11/10/24_10:24:28.371,1626,1616,184549376
281175044,11/10/24_10:24:29.371,1627,1617,184549376
282184918,11/10/24_10:24:30.371,1626,1618,184549376
283185046,11/10/24_10:24:31.371,1627,1619,184549376
284185045,11/10/24_10:24:32.371,1627,1620,184549376
285185043,11/10/24_10:24:33.371,1626,1621,184549376
286185043,11/10/24_10:24:34.371,1625,1621,184549376
287185039,11/10/24_10:24:35.371,1624,1622,184549376
288193032,11/10/24_10:24:36.371,1624,1623,184549376
289193052,11/10/24_10:24:37.371,1623,1623,184549376
290193044,11/10/24_10:24:38.371,1623,1623,184549376
291193044,11/10/24_10:24:39.371,1623,1624,184549376
292193043,11/10/24_10:24:40.351,1623,1625,184549376
293194042,11/10/24_10:24:41.371,1624,1625,184549376
294202875,11/10/24_10:24:42.391,1625,1626,184549376
295203042,11/10/24_10:24:43.391,1625,1627,184549376
296203048,11/10/24_10:24:44.391,1626,1628,184549376
297203051,11/10/24_10:24:45.391,1628,1628,184549376
298203045,11/10/24_10:24:46.391,1629,1630,184549376
299203046,11/10/24_10:24:47.391,1629,1630,184549376
300209886,11/10/24_10:24:48.371,1630,1630,184549376
301210039,11/10/24_10:24:49.391,1630,1630,184549376
302210043,11/10/24_10:24:50.391,1631,1632,184549376
303211043,11/10/24_10:24:51.391,1632,1631,184549376
304211042,11/10/24_10:24:52.391,1633,1632,184549376
305211047,11/10/24_10:24:53.391,1633,1633,184549376
306219608,11/10/24_10:24:54.411,1633,1634,184549376
307219043,11/10/24_10:24:55.411,1634,1634,184549376
308219040,11/10/24_10:24:56.410,1634,1634,184549376
309219041,11/10/24_10:24:57.410,1635,1634,184549376
310219042,11/10/24_10:24:58.410,1635,1634,184549376
311219046,11/10/24_10:24:59.410,1635,1634,184549376
312228089,11/10/24_10:25:0.410,1635,1634,184549376
313228043,11/10/24_10:25:1.410,1636,1635,184549376
314228044,11/10/24_10:25:2.410,1637,1636,184549376
315228040,11/10/24_10:25:3.410,1637,1636,184549376
316228039,11/10/24_10:25:4.410,1637,1637,184549376
317228040,11/10/24_10:25:5.410,1638,1636,184549376
318235730,11/10/24_10:25:6.410,1639,1637,184549376
319235042,11/10/24_10:25:7.430,1639,1637,184549376
320235042,11/10/24_10:25:8.430,1640,1638,184549376
321235045,11/10/24_10:25:9.431,1640,1638,184549376
322235043,11/10/24_10:25:10.431,1640,1639,184549376
323236042,11/10/24_10:25:11.431,1640,1639,184549376
324244366,11/10/24_10:25:12.431,1639,1639,184549376
325244048,11/10/24_10:25:13.431,1640,1639,184549376
326244048,11/10/24_10:25:14.431,1641,1639,184549376
327244044,11/10/24_10:25:15.431,1643,1639,184549376
328244042,11/10/24_10:25:16.431,1646,1639,184549376
329244044,11/10/24_10:25:17.431,1649,1639,184549376
330247755,11/10/24_10:25:18.411,1652,1639,184549376
331247040,11/10/24_10:25:19.411,1653,1639,184549376
